BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu3B,2,0,0,0,2,0,0,.272,.741
JudgeCF-RF,3,1,1,0,1,1,3,.284,.962
Rizzo1B,4,0,1,1,0,2,5,.238,.907
StantonRF,4,0,0,0,0,2,1,.250,.716
"Hicks, ACF",0,0,0,0,0,0,0,.250,.689
DonaldsonDH,3,0,1,0,0,1,0,.220,.688
Torres2B,3,0,0,0,0,1,1,.220,.685
GalloLF,2,0,1,0,1,1,0,.183,.608
Kiner-FalefaSS,3,0,0,0,0,0,2,.277,.675
TrevinoC,3,0,1,0,0,1,0,.189,.447
,27,1,5,1,4,9,12,,
