PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Cortes,7.1,1,0,0,4,11,0,1.41
"Holmes(W, 4-0)",0.2,0,0,0,0,0,0,0.61
"Chapman(S, 7)",1.0,1,0,0,0,0,0,0.00
,9.0,2,0,0,4,11,0,
