PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Garrett, B",4.0,7,2,2,0,2,0,3.56
Hoeing,0.2,0,0,0,0,0,0,12.19
Brigham,1.1,2,0,0,1,1,0,3.74
"Nance(W, 1-3)",1.0,1,0,0,0,1,0,4.43
"Fishman(H, 1)",1.0,0,0,0,0,0,0,1.74
"Floro(S, 9)",1.0,0,0,0,1,1,0,3.02
,9.0,10,2,2,2,5,0,
