PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
Lauer,5.0,1,0,0,0,9,0,3.83
"Strzelecki(H, 4)",1.0,1,0,0,1,2,0,2.97
"Peralta, F(L, 4-4)(BS, 1)",1.2,3,4,4,1,3,1,3.77
Topa,1.1,0,0,0,0,0,0,2.70
,9.0,5,4,4,2,14,1,
