BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Berti2B,4,1,2,0,0,1,0,.239,.653
Leblanc1B,3,0,0,0,1,3,2,.276,.759
"Díaz, L1B",0,0,0,0,0,0,0,.171,.527
"Anderson, BDH",3,1,0,0,1,2,2,.230,.678
"García, AvRF",4,1,1,4,0,1,2,.230,.591
De La CruzCF,3,0,0,0,0,2,0,.243,.708
FortesC,4,0,0,0,0,1,1,.240,.711
WendleSS,4,0,1,0,0,1,1,.258,.661
Groshans3B,4,1,1,0,0,2,2,.261,.632
BurdickLF,2,0,0,0,0,1,0,.167,.541
a-BledayPH-LF,1,0,0,0,0,0,1,.171,.606
,32,4,5,4,2,14,11,,
