BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,5,0,0,0,0,2,5,.266,.865
TurnerSS,4,0,2,0,0,0,3,.306,.848
"Freeman, F1B",4,0,0,0,0,1,2,.322,.937
"Smith, W.D.C",4,0,0,0,0,1,2,.262,.817
LambDH,4,0,1,0,0,1,2,.250,.853
Muncy3B,4,0,1,0,0,1,3,.160,.621
Lux2B,4,0,2,0,0,0,0,.298,.800
BellingerCF,4,0,0,0,0,1,3,.204,.638
"Thompson, TLF",3,1,2,1,1,1,1,.262,.811
,36,1,8,1,1,8,21,,
