PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Matz(L, 3-2)",2.0,5,8,8,3,3,3,7.01
Woodford,3.1,2,1,0,1,2,0,2.25
Naughton,0.2,0,0,0,0,1,0,0.00
Wittgren,1.0,2,1,1,0,0,0,2.61
Whitley,0.0,0,3,3,4,0,0,4.15
McFarland,1.0,0,0,0,0,0,0,5.63
,8.0,9,13,12,8,6,3,
