BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,4,0,1,0,1,0,1,.264,.770
SwansonSS,4,0,0,0,0,2,3,.290,.816
Olson1B,4,0,0,0,0,2,2,.251,.826
Riley3B,4,1,2,0,0,0,0,.294,.945
d'ArnaudC,4,0,0,0,0,1,2,.257,.751
OzunaLF,4,1,3,1,0,1,0,.225,.691
HerediaLF,0,0,0,0,0,0,0,.127,.536
"Contreras, WmDH",3,1,1,0,0,0,1,.258,.870
"a-Rosario, EPH-DH",1,0,0,0,0,0,1,.130,.389
Arcia2B,2,1,0,0,1,1,0,.241,.706
"b-Canó, RPH",1,0,0,0,0,0,0,.161,.392
"Harris II, MCF",4,0,1,0,0,2,1,.287,.804
,35,4,8,1,2,9,11,,
