PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Suárez, R",5.0,4,3,0,1,4,0,3.84
Brogdon,1.0,2,1,1,0,1,0,2.25
Alvarado,1.0,1,0,0,1,2,0,5.14
"Bellatti(W, 2-3)",1.0,1,0,0,0,1,0,3.34
"Domínguez(S, 5)",1.0,0,0,0,0,1,0,1.75
,9.0,8,4,1,2,9,0,
