BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KempLF-2B,3,0,1,1,1,0,0,.239,.654
Bride2B,3,0,0,0,0,2,1,.215,.568
"b-Brown, SPH-LF",1,0,0,0,0,0,2,.229,.743
"Murphy, SC",3,0,0,0,1,0,2,.252,.770
PinderRF,3,0,1,0,1,0,0,.232,.649
"Garcia, Der1B",4,0,0,0,0,2,3,.228,.742
"Diaz, JDH",2,1,2,0,1,0,0,.375,.819
c-VogtPH-DH,1,0,0,0,0,0,0,.166,.560
Neuse3B,2,0,0,0,0,2,2,.214,.561
a-MachínPH-3B,1,1,1,0,0,0,0,.232,.616
PacheCF,3,0,1,0,0,1,1,.159,.434
"Allen, NSS",3,0,0,0,0,1,3,.212,.548
,29,2,6,1,4,8,14,,
