BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rodríguez, JCF",4,0,2,0,0,2,0,.279,.840
France1B,4,0,0,0,0,0,2,.268,.769
HanigerRF,4,0,1,0,0,1,0,.225,.656
SantanaDH,3,0,0,0,0,2,1,.199,.702
WinkerLF,3,0,0,0,0,2,0,.216,.677
RaleighC,2,0,0,0,1,0,0,.203,.743
Frazier2B,2,0,0,0,0,0,1,.236,.609
a-HaggertyPH-2B,1,0,0,0,0,0,0,.268,.762
Toro3B,2,0,0,0,0,0,0,.177,.545
b-TorrensPH,1,1,1,1,0,0,0,.220,.548
"Moore, D3B",0,0,0,0,0,0,0,.213,.755
"Crawford, JSS",3,0,0,0,0,0,0,.250,.686
,29,1,4,1,1,7,4,,
