BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,4,1,1,0,0,1,3,.279,.720
CallLF,1,0,0,0,0,0,0,.000,.143
"Rosario, ASS",5,2,2,2,0,0,0,.291,.730
"Ramírez, Jo3B",4,2,2,5,0,1,0,.288,.944
"Miller, O2B",1,0,1,0,0,0,0,.251,.688
"Naylor, J1B",5,1,2,1,0,1,1,.274,.835
Gimenez2B,2,1,0,0,0,1,1,.296,.835
Clement2B-3B,1,0,0,0,0,0,0,.211,.505
"Reyes, FDH",4,0,1,0,0,1,1,.216,.616
"Jones, NRF",4,1,2,1,0,0,0,.333,.974
MaileC,2,1,1,0,1,0,0,.182,.561
StrawCF,4,1,1,1,0,0,4,.212,.571
,37,10,13,10,1,5,10,,
