BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,4,1,1,1,0,1,0,.247,.807
BichetteSS,4,0,0,0,0,2,0,.253,.715
Guerrero1B,4,0,1,0,0,0,0,.269,.839
KirkC,3,0,1,0,1,0,0,.310,.879
1-ZimmerPR,0,0,0,0,0,0,0,.113,.467
"Hernández, TRF",3,0,1,0,1,0,2,.260,.758
Gurriel Jr.DH,3,0,1,0,1,2,0,.300,.783
"Chapman, M3B",4,0,0,0,0,3,6,.219,.699
Espinal2B,3,0,0,0,0,0,3,.272,.725
"Tapia, RLF",3,0,0,0,0,2,3,.259,.646
,31,1,5,1,3,10,14,,
