PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Manoah(L, 9-4)",7.1,3,2,2,4,7,1,2.34
"Garcia, Y",0.2,0,0,0,0,1,0,3.21
,8.0,3,2,2,4,8,1,
