BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rodríguez, JCF",3,0,0,0,1,0,0,.274,.815
FranceDH,4,0,1,0,0,1,2,.310,.851
"Crawford, JSS",3,1,1,0,1,0,2,.270,.741
Santana1B,3,1,1,2,0,1,2,.222,.697
"Suárez, E3B",2,0,0,0,1,0,2,.241,.778
RaleighC,3,0,0,0,0,0,1,.197,.726
FrazierLF,3,0,0,0,0,2,0,.221,.575
"Moore, DRF",3,0,0,0,0,3,0,.187,.718
Toro2B,2,0,0,0,1,1,0,.180,.559
,26,2,3,2,4,8,9,,
