PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Wentz(L, 1-2)",4.0,4,2,2,1,5,1,4.15
Vest,1.0,0,0,0,1,0,0,3.83
Foley,1.0,0,0,0,0,1,0,3.13
"Jiménez, J",1.0,0,0,0,0,1,0,2.95
Cisnero,1.0,0,0,0,0,0,0,1.53
"Soto, G",1.0,1,0,0,2,0,0,3.46
,9.0,5,2,2,4,7,1,
