BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",4,0,1,0,0,0,1,.257,.695
"Castro, WRF-2B",4,0,0,0,0,3,1,.240,.636
"Castro, H1B",4,0,0,0,0,1,0,.267,.675
"Báez, JDH",4,1,2,1,0,2,0,.233,.650
"Carpenter, KLF-RF",4,0,1,0,0,2,1,.260,.812
HaaseC,3,0,0,0,0,2,1,.254,.746
Candelario3B,3,0,1,0,0,0,1,.204,.618
1-BaddooPR-LF,0,0,0,0,0,0,0,.184,.490
Clemens2B-3B,3,0,0,0,0,1,1,.150,.504
KreidlerSS,3,0,0,0,0,2,1,.212,.603
,32,1,5,1,0,13,7,,
