PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Castillo, L(W, 7-5)",6.0,4,0,0,1,9,0,2.68
Murfee,0.2,2,1,1,0,0,0,2.59
Brash,0.1,0,0,0,1,1,0,4.30
"Swanson, E",1.0,1,0,0,0,2,0,1.14
"Muñoz, A",1.0,0,0,0,0,2,0,2.61
,9.0,7,1,1,2,14,0,
