BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SemienSS,5,2,1,0,0,1,4,.236,.689
TaverasCF,5,1,1,1,0,2,2,.325,.856
HeimC,4,1,1,1,1,1,0,.265,.788
"García, AdRF",5,0,1,1,0,2,1,.249,.760
"Lowe, N1B",4,0,1,0,0,0,0,.276,.783
"Hernandez, ELF",4,0,0,0,0,2,2,.261,.609
Culberson2B,2,0,0,0,0,1,0,.250,.574
"a-Smith, JoshPH-3B",2,1,2,0,0,0,0,.227,.617
SolakDH,1,0,1,0,0,0,0,.205,.594
b-CalhounPH-DH,2,1,1,0,0,1,1,.218,.654
"Duran, E3B-2B",3,1,1,1,1,0,1,.253,.695
,37,7,10,4,2,10,11,,
