PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Buehler(L, 1-1)",5.0,8,3,3,1,2,1,4.02
"Phillips, E",1.0,0,0,0,0,1,0,3.38
Price,1.0,2,0,0,0,2,0,2.45
Vesia,1.0,2,0,0,0,1,0,0.00
Bruihl,1.0,0,0,0,0,1,0,1.80
,9.0,12,3,3,1,7,1,
