BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Story2B,5,0,2,3,0,2,2,.221,.619
Devers3B,4,0,0,0,1,1,2,.286,.773
BogaertsSS,5,1,2,1,0,0,2,.359,.921
MartinezDH,5,0,1,0,0,3,3,.309,.919
"Hernández, KCF",4,0,1,0,0,0,0,.189,.567
VerdugoLF,4,0,0,0,0,0,2,.227,.617
VázquezC,3,0,0,0,1,0,1,.208,.524
Dalbec1B,3,2,0,0,1,1,1,.141,.440
ArroyoRF,1,2,1,0,1,0,0,.205,.523
1-Bradley Jr.PR-RF,1,0,1,1,0,0,0,.181,.517
,35,5,8,5,4,7,13,,
