BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,5,0,1,0,0,1,2,.108,.310
PeñaSS,5,1,1,0,0,2,1,.289,.940
"Alvarez, YLF",4,0,0,0,1,2,1,.212,.805
Bregman3B,4,1,1,0,1,1,1,.324,.966
TuckerRF,5,2,3,4,0,1,1,.273,.896
Gurriel1B,4,1,2,0,1,0,1,.382,.959
ManciniDH,4,0,0,0,0,2,3,.000,.105
b-DíazPH,1,0,0,0,0,0,2,.067,.258
McCormickCF,3,0,1,0,1,2,0,.261,.892
MaldonadoC,3,0,1,1,0,0,2,.235,.644
a-VázquezPH-C,1,0,0,0,0,1,0,.182,.432
,39,5,10,5,4,12,14,,
