Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2018,L,364,170,46.7,.450,.321
2019,L,424,145,34.2,.354,.349
2020,L,175,90,51.4,.317,.265
2021,L,609,459,75.4,.435,.381
2022,L,652,576,88.3,.403,.365
