 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2018,,415,17.1,29.4%,3.4%,265,22.5,1.1%,10.6%
2019,,411,17.5,27.7%,2.9%,316,23.4,0.3%,11.4%
2020,,185,17.2,20.5%,0.5%,165,23.7,0.0%,12.1%
2021,,799,18.0,18.1%,2.9%,422,23.6,0.0%,13.7%
2022,,747,18.3,22.1%,2.5%,375,23.7,0.8%,16.5%
