Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2018,23,28.4,4.07,1,1,15,120,82.2
2019,24,28.3,4.05,6,3,23,143,79.2
2020,25,28.8,4.04,2,1,7,34,93.4
2021,26,28.8,4.09,7,1,14,61,91.1
2022,27,28.3,4.09,9,4,32,156,75.1
