PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Scherzer(L, 9-3)",6.2,7,4,4,1,3,1,2.33
May,0.1,0,0,0,0,1,0,6.89
Givens,1.0,1,0,0,0,0,0,3.83
,8.0,8,4,4,1,4,1,
