BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,3,0,1,0,0,0,2,.265,.769
"Marte, SRF",4,0,0,0,0,0,4,.293,.809
LindorSS,4,0,1,0,0,1,0,.273,.803
Alonso1B,4,1,0,0,0,0,2,.268,.861
VogelbachDH,4,1,1,2,0,1,0,.241,.815
McNeil2B,3,0,0,0,0,0,0,.319,.833
CanhaLF,3,0,0,0,0,1,0,.273,.779
Baty3B,2,0,0,0,1,0,0,.125,.472
McCannC,2,0,1,0,0,1,0,.181,.503
a-NaquinPH,1,0,0,0,0,1,1,.243,.760
NidoC,0,0,0,0,0,0,0,.224,.537
,30,2,4,2,1,5,9,,
