 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2016,,154,17.6,24.7%,5.8%,74,22.1,13.5%,14.9%
2017,,35,15.5,34.3%,0.0%,28,22.5,0.0%,3.6%
2018,,368,17.4,21.7%,2.7%,164,24.2,0.6%,18.9%
2019,,321,18.1,19.9%,5.0%,148,23.9,2.7%,18.9%
2020,,133,18.5,15.0%,3.0%,62,24.5,0.0%,19.4%
2021,,504,18.1,20.4%,4.0%,250,24.8,0.0%,19.6%
2022,,665,17.5,22.3%,3.8%,257,23.7,0.8%,11.3%
