 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,1,6,16.7,0,0.8,2.1,0.2,3,33.2
2018,19,41,46.3,-1,0.7,-0.1,0,0.6,34.1
2019,6,10,60,2,0.5,1.4,-0.5,1,33.1
2021,9,17,52.9,1,-0.4,0.1,0.3,-0.1,32.5
2022,16,30,53.3,-2,-0.5,-1.7,-0.3,-2.5,30.7
