PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
Giolito,5.0,4,2,2,3,6,0,5.00
"Lambert(H, 9)",0.1,0,1,1,2,1,0,3.40
"Bummer(BS, 4)",0.2,1,0,0,0,1,0,2.49
"López, R(W, 6-4)",1.0,1,0,0,0,1,0,2.80
"Graveman(H, 25)",1.0,0,0,0,0,1,0,3.27
"Hendriks(S, 34)",1.0,0,0,0,1,2,0,2.96
,9.0,6,3,3,6,12,0,
