BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
AndrusSS,5,0,0,0,0,1,3,.246,.690
PaytonLF-RF,4,2,2,1,0,0,0,.333,.889
"Abreu, JDH",4,0,2,1,0,0,1,.306,.826
SheetsRF,3,0,0,0,0,0,2,.242,.713
"a-Jiménez, EPH",1,0,0,0,0,1,1,.300,.865
EngelCF,0,0,0,0,0,0,0,.223,.576
Vaughn1B,2,0,0,1,1,0,1,.276,.764
PollockCF-LF,3,0,0,0,1,1,3,.246,.683
GrandalC,3,0,0,0,1,1,2,.200,.570
Harrison3B,4,1,2,0,0,0,1,.258,.688
"Gonzalez, R2B",4,1,1,1,0,2,2,.253,.652
,33,4,7,4,3,6,16,,
