PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Scherzer(W, 5-1)",5.2,7,2,1,0,4,0,2.54
"Ottavino(H, 3)",1.1,0,0,0,0,2,0,4.30
Lugo,1.0,3,2,2,0,1,1,4.80
Holderman,1.0,0,0,0,1,2,0,0.00
,9.0,10,4,3,1,9,1,
