PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Hicks, J",4.0,3,2,2,3,5,0,4.21
"Walsh(L, 0-1)",0.0,2,4,4,1,0,0,13.50
Wittgren,1.0,1,0,0,0,0,0,3.77
VerHagen,2.0,1,0,0,0,2,0,3.52
McFarland,1.0,4,5,5,1,0,1,9.00
,8.0,11,11,11,5,7,1,
