BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,3,2,1,1,1,1,.206,.812
VierlingLF,0,0,0,0,0,0,0,.200,.500
Hoskins1B,4,2,2,4,0,0,0,.171,.697
RealmutoC,2,3,1,1,2,0,0,.216,.688
HarperDH,4,1,2,2,0,0,0,.410,1.311
"Castellanos, NRF",4,1,2,1,0,0,1,.237,.591
Bohm3B,4,0,0,0,0,3,3,.206,.557
"Sosa, E3B",0,0,0,0,0,0,0,.500,1.250
StottSS,4,0,1,1,0,2,2,.192,.584
Segura2B,4,0,1,0,0,1,0,.281,.687
MarshCF,4,0,0,0,0,1,1,.174,.631
,34,10,11,10,3,8,8,,
