PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
Kirby,7.0,3,1,1,1,9,0,3.75
Borucki,1.0,1,0,0,0,2,0,6.43
"Castillo. D(W, 6-1)",1.0,0,0,0,1,1,0,4.66
,9.0,4,1,1,2,12,0,
