PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"García, R(W, 1-2)",6.0,5,4,3,0,5,2,4.97
Chafin,1.0,0,0,0,0,3,0,3.31
Vest,1.0,1,0,0,0,1,0,2.19
Foley,1.0,4,3,3,1,0,0,3.32
,9.0,10,7,6,1,9,2,
