,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,629,543,76,128,31,87,0,.236,.332,.459,.791
9 Seasons,4636,4063,582,1015,224,634,28,.250,.334,.465,.799
