Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,23,27.0,4.57,,42,25,306,54.8
2016,24,27.5,4.45,,16,25,249,63.8
2017,25,26.9,4.47,,31,41,340,49.5
2018,26,26.2,4.61,,43,55,435,35.1
2019,27,25.9,4.72,,43,58,481,29.7
2020,28,25.9,4.69,,34,35,368,26.6
2021,29,26.7,4.63,,41,37,384,43.3
2022,30,25.7,4.82,,63,37,520,16.7
