BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,5,0,1,0,0,1,2,.296,.750
"Rosario, ASS",5,0,1,0,0,2,1,.292,.729
"Ramírez, Jo3B",5,2,2,0,0,1,2,.289,.938
"Miller, O1B",2,1,1,1,0,1,0,.247,.672
a-ClementPH-1B,1,0,0,0,0,1,0,.201,.491
Gimenez2B,4,1,2,3,0,1,1,.299,.854
"Reyes, FDH",4,0,1,0,0,1,1,.214,.609
"Jones, NRF",4,0,1,0,0,2,3,.286,.857
MaileC,3,0,1,0,0,2,1,.192,.572
b-CallPH,1,0,0,0,0,1,0,.100,.350
StrawCF,4,0,1,0,0,1,2,.218,.580
,38,4,11,4,0,14,13,,
