BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Choi1B,4,0,0,0,0,2,2,.261,.783
"Raley, LLF",2,2,1,0,1,1,0,.220,.681
a-QuinnPH-LF,1,0,0,0,0,0,1,.189,.510
"Díaz, Y3B",4,1,1,2,0,0,2,.293,.810
"Lowe, B2B",4,1,2,2,0,0,0,.241,.749
ArozarenaDH,4,0,0,0,0,3,1,.253,.730
"Lowe, JRF",3,1,2,0,1,1,0,.221,.627
WallsSS,3,1,1,0,1,2,1,.170,.534
"Phillips, BCF",4,0,1,1,0,2,2,.147,.475
"Pinto, RC",4,0,2,1,0,1,2,.210,.557
,33,6,10,6,3,12,11,,
