BATTERS - DET,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Greene, RCF",5,0,1,0,0,2,5,.269,.760
"Báez, JSS",3,2,1,1,1,1,1,.211,.605
GrossmanLF,4,1,1,1,0,1,3,.207,.600
"Cabrera, MDH",3,0,1,3,0,0,1,.308,.719
Schoop2B,4,1,1,0,0,0,1,.209,.566
"Castro, WRF",4,0,0,0,0,1,1,.260,.659
Clemens3B,3,2,2,2,1,0,0,.184,.656
Torkelson1B,4,1,1,0,0,2,2,.193,.579
BarnhartC,2,1,1,1,2,1,0,.219,.538
,32,8,9,8,4,8,14,,
