BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YastrzemskiRF,5,1,2,1,0,1,1,.200,.529
BeltDH,3,1,1,1,1,1,1,.282,1.019
Ruf1B,3,1,0,0,1,1,1,.167,.528
PedersonLF,4,1,2,1,0,2,0,.333,1.007
SlaterLF,0,0,0,0,0,0,0,.105,.385
"Crawford, BraSS",4,0,1,1,0,1,1,.220,.590
Flores3B,4,0,1,1,0,0,1,.216,.646
Estrada2B,3,0,0,0,1,0,3,.227,.670
DuggarCF,4,1,1,0,0,1,3,.200,.523
BartC,4,0,0,0,0,3,2,.207,.772
,34,5,8,5,3,10,13,,
