PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Sánchez, An(L, 0-4)",4.1,5,5,4,3,2,1,7.65
Weems,1.2,5,3,3,0,1,1,6.04
Cishek,1.0,1,0,0,0,3,0,3.94
"Machado, A",1.0,2,0,0,0,3,0,4.87
"Harvey, H",1.0,1,1,1,0,1,0,2.84
,9.0,14,9,8,3,10,2,
