PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Flexen(W, 7-8)",6.0,4,2,2,2,5,1,3.75
"Muñoz, A(H, 12)",1.0,0,0,0,0,0,0,2.77
"Sewald(H, 5)",1.0,0,0,0,1,1,0,2.39
"Castillo. D(H, 4)",0.1,2,1,1,1,1,1,3.93
"Swanson, E(S, 2)",0.2,0,0,0,0,0,0,0.98
,9.0,6,3,3,4,7,2,
