BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Crawford, JSS",3,0,0,0,1,0,0,.261,.713
France1B,3,2,3,1,0,0,0,.312,.867
SantanaDH,4,0,0,1,0,0,4,.213,.716
"Suárez, E3B",3,1,1,0,1,1,2,.236,.767
RaleighC,4,0,2,1,0,2,1,.205,.735
FrazierLF,3,0,1,0,1,1,2,.238,.607
Toro2B,4,0,0,0,0,2,6,.176,.563
"Moore, DCF",4,0,0,0,0,4,3,.199,.711
HaggertyRF,3,1,1,0,0,1,0,.286,.788
,31,4,8,3,3,11,18,,
