PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Suárez, R(L, 10-6)",6.0,7,2,2,1,5,0,3.37
Robertson,1.0,0,0,0,3,2,0,2.44
Brogdon,1.0,0,0,0,1,2,0,3.40
,8.0,7,2,2,5,9,0,
