PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Fried,6.0,7,3,3,2,6,0,3.31
"Strider(H, 1)",1.0,0,0,0,0,3,0,2.61
"Smith, W.M.(H, 3)",1.0,0,0,0,1,1,0,3.60
"Jansen(BS, 1)",1.0,1,1,1,1,0,0,2.70
"O'Day(BS, 1)",0.2,1,1,0,1,1,0,3.86
"Chavez(L, 0-1)",0.1,1,2,1,0,0,1,4.40
,10.0,10,7,5,5,11,1,
