Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,25,28.8,4.25,15,6,10,54,92.1
2016,26,28.4,4.3,15,13,16,110,84.1
2017,27,28.0,4.3,4,49,19,168,75.1
2018,28,27.7,4.31,4,49,26,228,66.1
2019,29,28.5,4.27,2,43,8,116,83.2
2020,30,28.2,4.33,6,31,7,91,82.0
2021,31,28.4,4.33,,49,4,120,82.4
2022,32,28.3,4.37,2,46,6,152,75.8
