Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2016,0,,-1,0,-3,-4,1,1,1,3,85,85,0
2017,-3,,-1,0,-1,-3,2,-2,-1,0,86,85,-1
2018,0,,-3,1,-1,-3,-1,2,2,3,89,89,0
2019,7,,1,2,2,5,0,1,2,3,89,92,3
2020,1,,1,0,1,2,-1,0,0,-1,88,90,2
2021,3,,2,1,0,4,-1,0,0,-1,85,88,3
2022,2,,1,1,1,3,-1,0,-1,-1,91,91,0
