Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,21.9,29,30.5,-2,12,20,16,55.2
2017,,21.3,40,36.7,3,12,25,18,45.0
2018,,21.7,26,25.9,0,13,17,14,53.8
2019,,21.7,43,40.7,2,11,21,23,53.5
2020,,21.7,18,17.2,1,4,7,13,72.2
2021,,22.2,22,20.7,1,4,12,11,50.0
2022,,22.2,25,24.5,1,10,23,6,24.0
Player,,21.8,203,196.2,7,66,125,101,49.8
