 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,38,85,44.7,0,0.5,-0.1,-0.8,-0.4,32
2017,34,77,44.2,-1,0.5,-0.3,-0.3,-0.1,33.7
2018,27,59,45.8,0,0.6,0.3,-0.7,0.2,33.8
2019,33,56,58.9,5,1,0.6,-0.6,1,34
2020,14,27,51.9,0,-0.3,0.2,0.5,0.5,33.8
2021,15,26,57.7,3,0,-0.1,0.1,0,33
2022,20,34,58.8,3,-0.4,0.6,0.1,0.3,34.6
