BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
OhtaniDH,4,1,1,0,0,0,1,.143,.333
Rendon3B,4,0,0,0,0,2,2,.077,.277
Walsh1B,3,0,0,0,1,1,2,.316,.824
StassiC,1,2,1,0,3,0,0,.286,.929
MarshCF,3,2,2,4,1,0,2,.400,1.371
"Rojas, JRF",4,0,0,0,0,1,3,.176,.470
AdellLF,4,1,2,2,0,1,0,.154,.616
Wade2B-SS,4,0,1,0,0,1,1,.250,.500
FletcherSS,2,0,0,0,0,1,0,.077,.308
Duffy2B,1,0,0,0,1,0,1,.429,.985
,30,6,7,6,6,7,12,,
