PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Suárez, R(L, 4-3)",4.1,6,5,5,4,4,1,4.74
Alvarado,0.2,2,1,1,2,0,1,7.62
Bellatti,1.0,1,1,1,0,2,1,2.70
Brogdon,1.0,2,1,1,1,3,0,3.68
Norwood,1.0,2,0,0,0,3,0,7.90
,8.0,13,8,8,7,12,3,
