BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu2B,3,1,0,0,1,0,0,.252,.725
JudgeCF,2,0,0,0,2,0,0,.310,1.063
Rizzo1B,4,1,2,2,0,0,1,.223,.806
StantonDH,3,0,0,0,0,0,3,.264,.846
Donaldson3B,3,0,1,0,0,2,0,.232,.717
"Hicks, ALF",3,0,1,0,0,0,1,.224,.611
Kiner-FalefaSS,3,0,0,0,0,0,1,.270,.640
TrevinoC,3,0,0,0,0,0,0,.291,.812
GalloRF,2,0,0,0,0,2,0,.184,.641
a-TorresPH,1,0,0,0,0,1,0,.249,.784
GonzalezRF,0,0,0,0,0,0,0,.224,.583
,27,2,4,2,3,5,6,,
