PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T",7.1,4,0,0,2,3,0,2.72
Díaz,0.2,1,0,0,0,2,0,2.08
"Smith, Dr(L, 1-2)",1.0,2,2,2,0,1,1,2.48
,9.0,7,2,2,2,6,1,
