 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2019,25,53,47.2,3,-0.4,0.9,0.6,1.1,34.3
2020,14,32,43.8,-5,-0.3,-0.2,0.6,0.2,33.1
2021,35,58,60.3,5,0.4,1.4,0.4,2.2,35.1
2022,42,81,51.9,0,-0.4,0.8,0.3,0.7,34.9
