Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2019,4,,0,0,1,1,2,1,0,3,84,86,2
2020,-5,,-1,-1,-2,-4,0,0,0,-1,89,86,-3
2021,5,,2,-1,0,1,1,2,2,4,90,91,1
2022,2,,1,-2,0,-1,1,1,1,3,86,87,1
