Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,L,410,206,50.2,.333,.372
2020,L,223,105,47.1,.517,.282
2021,L,528,385,72.9,.372,.309
2022,L,557,449,80.6,.348,.298
