Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,22.0,21,22.3,-1,10,14,11,52.4
2020,,22.8,10,13.6,-4,3,10,7,70.0
2021,,22.3,25,28.4,-3,4,21,14,56.0
2022,,23.1,17,18.8,-2,8,21,5,29.4
Player,,22.5,73,83.1,-10,25,66,37,50.7
