Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,SF,NL,LF,61,42,401.0,91,88,0,3,0,,.967
2019,SF,NL,CF,7,2,30.0,7,7,0,0,0,,1.000
2019,SF,NL,RF,56,45,390.0,97,94,2,1,0,,.990
2020,SF,NL,LF,8,1,20.0,6,6,0,0,0,,1.000
2020,SF,NL,CF,24,24,186.0,56,55,1,0,1,,1.000
2020,SF,NL,RF,31,27,227.1,60,59,1,0,0,,1.000
2021,SF,NL,CF,34,29,227.1,53,51,2,0,1,,1.000
2021,SF,NL,RF,115,90,831.2,210,208,1,1,0,,.995
2022,SF,NL,CF,93,74,572.0,162,156,5,1,3,,.994
2022,SF,NL,RF,104,51,555.2,121,115,4,2,0,,.983
2022,SF,NL,DH,1,1,0.0,0,0,0,0,0,,.000
4 Seasons,SF,NL,LF,69,43,421.0,97,94,0,3,0,,.969
,SF,NL,CF,158,129,1015.1,278,269,8,1,5,,.996
,SF,NL,RF,306,213,2004.2,488,476,8,4,0,,.992
,SF,NL,DH,1,1,0.0,0,0,0,0,0,,.000
