 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,166,88.6,84.4,--,--,--,--,--,--,--,--,4,--,76,83.6,86,84.5
2021,368,91.1,84.9,--,--,--,--,--,--,--,--,--,--,72,85.5,296,84.6
2022,418,95.5,86.1,--,--,--,--,--,--,--,--,--,--,217,84.9,201,86.9
