PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Webb(L, 9-4)",6.1,7,4,4,1,5,1,2.91
Long,0.2,1,1,1,0,1,1,3.63
"Rogers, Ty",1.0,0,0,0,0,0,0,4.76
,8.0,8,5,5,1,6,2,
