PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
Gallen,5.0,3,2,1,1,5,0,3.24
"Smith, C",1.1,1,0,0,1,1,0,4.47
"Ramirez, No(W, 3-3)",1.1,1,1,1,0,0,0,5.08
"Mantiply(H, 12)",0.1,1,0,0,0,0,0,2.35
"Melancon(S, 14)",1.0,1,0,0,1,1,0,4.67
,9.0,7,3,2,3,7,0,
