BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WardRF,4,0,2,0,0,0,0,.275,.831
OhtaniDH,4,0,0,0,0,1,2,.254,.846
Rengifo2B,4,0,0,0,0,2,1,.277,.734
AdellLF,4,1,1,0,0,2,1,.232,.654
Walsh1B,4,0,1,0,0,3,2,.229,.676
SuzukiC,4,0,2,0,0,0,1,.200,.594
MoniakCF,4,0,1,1,0,1,2,.143,.414
"Rojas, J3B",3,0,0,0,0,1,2,.100,.296
"Velazquez, ASS",3,0,0,0,0,3,4,.174,.481
,34,1,7,1,0,13,15,,
